Quarter,State,Total_Crashes,Num_Injured,Num_Killed,Total_Vehicles_Involved,SPV,DAD,PWR,FTQ,Other_Factors,Year,Quarter_num,fatality_rate,injury_rate,year,period
Q4 2020,Abia,30,146,31,37.0,19.0,0.0,0.0,0.0,18.0,2020.0,4.0,1.033,4.867,,
Q4 2020,Adamawa,77,234,36,94.0,57.0,0.0,0.0,0.0,37.0,2020.0,4.0,0.468,3.039,,
Q4 2020,Akwa Ibom,22,28,7,24.0,15.0,0.0,0.0,1.0,8.0,2020.0,4.0,0.318,1.273,,
Q4 2020,Anambra,72,152,20,83.0,43.0,1.0,0.0,0.0,39.0,2020.0,4.0,0.278,2.111,,
Q4 2020,Bauchi,154,685,90,140.0,74.0,0.0,0.0,0.0,66.0,2020.0,4.0,0.584,4.448,,
Q4 2020,Bayelsa,1,3,0,1.0,1.0,0.0,0.0,0.0,0.0,2020.0,4.0,0.0,3.0,,
Q4 2020,Benue,77,177,25,81.0,81.0,0.0,0.0,0.0,0.0,2020.0,4.0,0.325,2.299,,
Q4 2020,Borno,25,67,16,18.0,11.0,0.0,0.0,0.0,7.0,2020.0,4.0,0.64,2.68,,
Q4 2020,Cross River,33,65,11,39.0,23.0,0.0,0.0,0.0,16.0,2020.0,4.0,0.333,1.97,,
Q4 2020,Delta,67,182,36,111.0,70.0,0.0,0.0,0.0,41.0,2020.0,4.0,0.537,2.716,,
Q4 2020,Ebonyi,27,82,11,29.0,9.0,0.0,0.0,0.0,20.0,2020.0,4.0,0.407,3.037,,
Q4 2020,Edo,55,118,32,102.0,77.0,0.0,0.0,0.0,25.0,2020.0,4.0,0.582,2.145,,
Q4 2020,Ekiti,30,71,9,46.0,23.0,1.0,0.0,0.0,22.0,2020.0,4.0,0.3,2.367,,
Q4 2020,Enugu,44,116,30,48.0,10.0,0.0,0.0,0.0,38.0,2020.0,4.0,0.682,2.636,,
Q4 2020,Fct,312,572,90,480.0,284.0,1.0,0.0,2.0,193.0,2020.0,4.0,0.288,1.833,,
Q4 2020,Gombe,70,231,26,84.0,59.0,0.0,0.0,0.0,25.0,2020.0,4.0,0.371,3.3,,
Q4 2020,Imo,31,91,15,24.0,11.0,0.0,0.0,0.0,13.0,2020.0,4.0,0.484,2.935,,
Q4 2020,Jigawa,92,318,64,177.0,118.0,0.0,0.0,0.0,59.0,2020.0,4.0,0.696,3.457,,
Q4 2020,Kaduna,281,1010,224,363.0,194.0,0.0,0.0,0.0,169.0,2020.0,4.0,0.797,3.594,,
Q4 2020,Kano,102,499,194,130.0,90.0,0.0,0.0,2.0,38.0,2020.0,4.0,1.902,4.892,,
Q4 2020,Katsina,77,277,39,107.0,80.0,0.0,0.0,0.0,27.0,2020.0,4.0,0.506,3.597,,
Q4 2020,Kebbi,58,222,56,64.0,45.0,0.0,0.0,0.0,19.0,2020.0,4.0,0.966,3.828,,
Q4 2020,Kogi,122,335,55,178.0,91.0,1.0,0.0,1.0,85.0,2020.0,4.0,0.451,2.746,,
Q4 2020,Kwara,102,313,60,163.0,105.0,0.0,0.0,0.0,58.0,2020.0,4.0,0.588,3.069,,
Q4 2020,Lagos,113,181,21,114.0,46.0,1.0,0.0,3.0,64.0,2020.0,4.0,0.186,1.602,,
Q4 2020,Nasarawa,200,513,65,271.0,114.0,0.0,0.0,0.0,157.0,2020.0,4.0,0.325,2.565,,
Q4 2020,Niger,110,347,91,126.0,102.0,0.0,0.0,0.0,24.0,2020.0,4.0,0.827,3.155,,
Q4 2020,Ogun,279,548,83,377.0,254.0,0.0,0.0,0.0,123.0,2020.0,4.0,0.297,1.964,,
Q4 2020,Ondo,114,320,84,155.0,107.0,0.0,0.0,1.0,47.0,2020.0,4.0,0.737,2.807,,
Q4 2020,Osun,109,292,52,143.0,93.0,0.0,0.0,0.0,50.0,2020.0,4.0,0.477,2.679,,
Q4 2020,Oyo,155,385,68,209.0,128.0,0.0,0.0,4.0,77.0,2020.0,4.0,0.439,2.484,,
Q4 2020,Plateau,45,123,17,48.0,18.0,2.0,0.0,0.0,28.0,2020.0,4.0,0.378,2.733,,
Q4 2020,Rivers,25,77,6,29.0,19.0,0.0,0.0,0.0,10.0,2020.0,4.0,0.24,3.08,,
Q4 2020,Sokoto,32,138,47,60.0,49.0,0.0,0.0,0.0,11.0,2020.0,4.0,1.469,4.312,,
Q4 2020,Taraba,59,149,7,92.0,57.0,0.0,0.0,0.0,35.0,2020.0,4.0,0.119,2.525,,
Q4 2020,Yobe,56,383,60,53.0,28.0,0.0,0.0,0.0,25.0,2020.0,4.0,1.071,6.839,,
Q4 2020,Zamfara,55,252,40,72.0,40.0,0.0,0.0,0.0,32.0,2020.0,4.0,0.727,4.582,,
Q1 2021,Abia,44,119,35,36.0,7.0,0.0,0.0,0.0,29.0,2021.0,1.0,0.795,2.705,,
