TIME 24 HOURS,COUNTY,ROAD,PLACE,BRIEF ACCIDENT DETAILS,GENDER,AGE,CAUSE CODE,VICTIM,NO.,Date DD/MM/YYYY,year,hour,is_peak_hour
630,MAKUENI,KITUI-ITHOKWE,KITUI SCHOOL,HEAD ON COLLISION,M,26,7.0,M/CYCLIST,1,2016-06-25,2016,6.0,1
830,TAITA TAVETA,MOMBASA-NAIROBI,IKANGA,HEAD ON COLLISION,M,28,25.0,M/CYCLIST,1,2016-06-25,2016,8.0,1
1330,KILIFI,MOMBASA-NAIROBI,KATOLANI,THE UNKNOWN M/V HIT THE MOTOR CYCLE,M,A & J,98.0,M/CYCLIST,1,2016-06-25,2016,13.0,0
2100,NAKURU,NAKURU-NAIROBI,MAASAI LODGE,THE VEHICLE KNOCKED DOWN A PEDESTRIAN WHO WAS CROSSING THE ROAD,M,65,29.0,PEDESTRIAN,1,2016-06-25,2016,21.0,0
1900,MACHAKOS,MATUU-MWINGI,KIVANDINI,THE VEHICLE OVERTOOK A M/CYCLE AND LOST CONTROL VEERING OFF THE ROAD & ROLLED,M,A,10.0,PASSENGER,1,2016-06-25,2016,19.0,1
2130,HOMA BAY,KATITO-KENDU BAY,PAP ONDITI,HIT & RUN,M,A,98.0,PEDESTRIAN,1,2016-06-25,2016,21.0,0
1200,KIRINYAGA,MAKUTANO-MWEA,MUMATI AREA,HEAD ON COLLISION,M & F,J/A,10.0,2 PASSENGERS & DRIVER,3,2016-06-25,2016,12.0,0
1330,NAKURU,KENYATTA AVENUE,NEAR OILIBIA,HEAD ON COLLISION,M,A,26.0,M/CYCLIST,1,2016-06-24,2016,13.0,0
1930,NAIROBI,EASTERN BY PASS,NEAR GULF PETROL STATION,THE VEHICLE KNOCKED DOWN A PEDESTRIAN WHO WAS CROSSING THE ROAD,F,15,63.0,PEDESTRIAN,1,2016-06-24,2016,19.0,1
2030,KIAMBU,NYERI-THIKA,BLUE POST AREA,THE MOTOR CYCLE HIT THE UNKNOWN M/V LOOSING CONTROL AND HIT THE TRAILER,M,17,26.0,P/PASSENGER,1,2016-06-24,2016,20.0,0
1900,MOMBASA,LIKONI-LINGALUNGA,KENANA MARKET,THE LORRY HIT THE MINI BUS AND LOST CONTROL VEERING OFF THE ROAD AND KNOCKED TWO PEDESTRIANS,F,A & J,58.0,2 PEDESTRIANS & PASSENGER,3,2016-06-24,2016,19.0,1
2130,HOMA BAY,KENDU BAY-KASITI,NEAR KENDU BAY TOWN,THE TANKER HIT THE MOTOR CYCLE,M,26,58.0,M/CYCLIST,1,2016-06-24,2016,21.0,0
40,NAKURU,NAKURU-NAIROBI,NEAR GREEN STED AREA,HIT & RUN,M,38,98.0,PEDESTRIAN,1,2016-06-24,2016,0.0,0
300,MERU,MERU-MAUA,MAFUKO AREA,THE PRADO HIT THE MOTOR CYCLE,M,36,29.0,M/CYCLIST,1,2016-06-24,2016,3.0,0
1150,NAKURU,NAKURU NAIROBI,NEAR TUSKYS SUPERMARKET,THE VEHICLE KNOCKED DOWN THE M/CYCLIST,M,35,57.0,M/CYCLIST,1,2016-06-23,2016,11.0,0
330,MIGORI,MIGORI KISII,WASIO AREA,THE VEHICLE LOST CONTROL VEERED OFF THE ROAD AND KNOCKED DOWN THE VICTIM,F,7,19.0,PEDESTRIAN,1,2016-06-23,2016,3.0,0
1700,KISII,KEROKA KISII,NEAR AMBUKA JUNCTION,HEAD ON COLLISION,M,A,8.0,M/CYCLIST,1,2016-06-23,2016,17.0,1
2130,NAKURU,NJORO MAU NAROK,NERA EGERTON UNIVERSITY,THE VEHICLE HIT THE M/CYCLE,M,33,7.0,M/CYCLIST,1,2016-06-23,2016,21.0,0
2130,NAIROBI,HAILE SELASIE ROAD,NEAR CHOO NUMBER 8,THE VEHICLE KNOCKED DOWN THE VICTIM,M,A,98.0,PEDESTRIAN,1,2016-06-23,2016,21.0,0
2100,NAIROBI,GITHUNGURI ROAD,ELSHADAI ROAD,THE VEHICLE KNOCKED DOWN THE M/CYCLIST,M,26,8.0,M/CYCLIST,1,2016-06-23,2016,21.0,0
300,KILIFI,MOMBASA NAIROBI,NEAR BARRACKS JUNCTION,HEAD ON COLLISION,M,36,10.0,DRIVER,1,2016-06-23,2016,3.0,0
800,NAIROBI,HAILE SELASIE,GK PRINTERS,THE VEHICLE KNOCKED DOWN THE VICTIM,F,A,26.0,PEDESTRIAN,1,2016-06-22,2016,8.0,1
800,SIAYA,BONDO USENGE,UDONGO,THE VEHICLE GOT A TYRE BURST AND LOST CONTROL,F,A,26.0,PASSENGER,2,2016-06-22,2016,8.0,1
1015,KIAMBU,RUIRU KIAMBU,KIU RIVER,THE VEHICLE LOST CONTROL AND SWERVED TO THE LEFT,M,A,26.0,PEDESTRIAN,1,2016-06-22,2016,10.0,0
