State,Total_Crashes,year,period,Num_Injured,Num_Killed
Nairobi,447,2025,Jan-Oct 2025,0,447
Kiambu,387,2025,Jan-Oct 2025,0,387
Nakuru,318,2025,Jan-Oct 2025,0,318
Machakos,173,2025,Jan-Oct 2025,0,173
Murang'a,148,2025,Jan-Oct 2025,0,148
Kisumu,137,2025,Jan-Oct 2025,0,137
Kilifi,141,2021,full year,0,141
Meru,158,2021,full year,0,158
Nyeri,127,2021,full year,0,127
Kajiado,120,2021,full year,0,120
Uasin Gishu,110,2021,full year,0,110
Kirinyaga,110,2021,full year,0,110
Narok,101,2021,full year,0,101
Embu,89,2021,full year,0,89
Kisii,86,2021,full year,0,86
Homa Bay,85,2021,full year,0,85
Kericho,80,2021,full year,0,80
Nyandarua,86,2021,full year,0,86
Kakamega,131,2021,full year,0,131
Makueni,155,2020,FY 2019/2020,0,155
