id,state,period,SPV,UPD,TBT,MDV,BFL,OVL,DOT,WOT,DGD,BRD,RTV,OBS,SOS,DAD,PWR,FTQ,SLV,dominant_cause,dominant_cause_name
1.0,Abia,Q4 2020,19,0,4,0,3,0,0,5,0,0,3,0,0,0,0,0,2,SPV,Speed Violation
2.0,Adamawa,Q4 2020,57,0,3,2,0,1,0,17,1,0,3,10,0,0,0,0,0,SPV,Speed Violation
3.0,Akwa Ibom,Q4 2020,15,0,0,0,2,0,0,1,4,0,1,0,0,0,0,1,0,SPV,Speed Violation
4.0,Anambra,Q4 2020,43,0,3,0,9,0,0,4,0,0,6,1,0,1,0,0,6,SPV,Speed Violation
5.0,Bauchi,Q4 2020,74,0,11,3,0,5,2,21,7,2,4,3,0,0,0,0,8,SPV,Speed Violation
6.0,Bayelsa,Q4 2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SPV,Speed Violation
7.0,Benue,Q4 2020,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SPV,Speed Violation
8.0,Borno,Q4 2020,11,0,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,SPV,Speed Violation
9.0,Cross River,Q4 2020,23,0,1,2,1,1,0,2,3,1,0,4,0,0,0,0,0,SPV,Speed Violation
10.0,Delta,Q4 2020,70,0,10,0,4,0,0,8,1,0,1,0,0,0,0,0,17,SPV,Speed Violation
11.0,Ebonyi,Q4 2020,9,0,8,0,0,0,0,6,3,0,0,0,0,0,0,0,3,SPV,Speed Violation
12.0,Edo,Q4 2020,77,0,9,2,2,2,0,4,5,0,1,0,0,0,0,0,0,SPV,Speed Violation
13.0,Ekiti,Q4 2020,23,0,1,0,4,0,0,7,2,0,1,1,0,1,0,0,4,SPV,Speed Violation
14.0,Enugu,Q4 2020,10,0,0,1,10,0,0,2,3,0,1,0,0,0,0,0,21,SLV,Other
15.0,Fct,Q4 2020,284,1,18,4,7,1,4,13,18,0,18,2,0,1,0,2,91,SPV,Speed Violation
16.0,Gombe,Q4 2020,59,1,2,1,1,0,0,7,8,0,1,0,0,0,0,0,4,SPV,Speed Violation
17.0,Imo,Q4 2020,11,0,3,0,1,0,0,1,4,1,0,1,0,0,0,0,2,SPV,Speed Violation
18.0,Jigawa,Q4 2020,118,1,11,2,0,12,0,7,1,0,8,10,0,0,0,0,6,SPV,Speed Violation
19.0,Kaduna,Q4 2020,194,1,13,0,5,3,4,15,13,8,22,2,2,0,0,0,35,SPV,Speed Violation
20.0,Kano,Q4 2020,90,0,4,0,2,0,2,7,13,0,6,0,0,0,0,2,3,SPV,Speed Violation
21.0,Katsina,Q4 2020,80,0,1,2,3,0,0,4,7,3,3,1,1,0,0,0,1,SPV,Speed Violation
22.0,Kebbi,Q4 2020,45,0,3,2,0,0,0,6,4,0,1,0,0,0,0,0,1,SPV,Speed Violation
23.0,Kogi,Q4 2020,91,0,8,4,8,1,0,16,8,2,6,6,0,1,0,1,26,SPV,Speed Violation
24.0,Kwara,Q4 2020,105,1,5,3,5,0,0,18,6,2,0,0,0,0,0,0,15,SPV,Speed Violation
25.0,Lagos,Q4 2020,46,0,3,12,23,0,0,4,6,6,3,0,0,1,0,3,0,SPV,Speed Violation
26.0,Nasarawa,Q4 2020,114,0,6,4,1,0,0,12,52,5,14,2,0,0,0,0,32,SPV,Speed Violation
27.0,Niger,Q4 2020,102,0,1,1,4,0,0,4,0,0,8,1,1,0,0,0,4,SPV,Speed Violation
28.0,Ogun,Q4 2020,254,0,22,10,28,4,1,12,20,1,13,6,0,0,0,0,2,SPV,Speed Violation
29.0,Ondo,Q4 2020,107,0,7,3,3,0,0,14,13,1,4,1,1,0,0,1,0,SPV,Speed Violation
30.0,Osun,Q4 2020,93,0,11,5,3,2,0,8,10,2,7,1,1,0,0,0,0,SPV,Speed Violation
31.0,Oyo,Q4 2020,128,1,15,5,14,1,0,14,18,1,6,0,2,0,0,4,0,SPV,Speed Violation
32.0,Plateau,Q4 2020,18,0,2,3,9,0,0,3,7,0,0,0,0,2,0,0,1,SPV,Speed Violation
33.0,Rivers,Q4 2020,19,0,2,1,3,0,0,0,0,0,2,0,0,0,0,0,2,SPV,Speed Violation
34.0,Sokoto,Q4 2020,49,0,0,0,0,2,0,2,2,0,1,4,0,0,0,0,0,SPV,Speed Violation
35.0,Taraba,Q4 2020,57,0,2,1,0,1,0,4,7,0,3,0,5,0,0,0,12,SPV,Speed Violation
36.0,Yobe,Q4 2020,28,0,9,1,0,2,0,7,5,0,1,0,0,0,0,0,0,SPV,Speed Violation
37.0,Zamfara,Q4 2020,40,0,2,1,0,5,2,6,0,1,2,0,0,0,0,0,1,SPV,Speed Violation
38.0,Abia,Q1 2021,7,0,10,1,4,0,0,3,0,0,3,0,0,0,0,0,7,TBT,Tyre Burst
39.0,Adamawa,Q1 2021,60,0,7,0,0,4,0,16,0,0,5,14,1,0,0,0,3,SPV,Speed Violation
40.0,Akwa Ibom,Q1 2021,15,0,0,0,3,0,0,2,1,0,1,0,0,0,0,0,2,SPV,Speed Violation
41.0,Anambra,Q1 2021,59,0,6,1,21,0,0,6,1,0,4,1,0,0,0,0,9,SPV,Speed Violation
42.0,Bauchi,Q1 2021,77,0,16,3,0,0,1,18,15,1,4,2,1,0,0,0,14,SPV,Speed Violation
43.0,Bayelsa,Q1 2021,7,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,SPV,Speed Violation
