Source,Destination,Road Length (km),Congestion Level,Travel Time (min),Weather,Alternative Routes,Suitability Score,route_type,data_note,congestion_enc,weather_enc,is_peak,quality_label
Lagos,Kaduna,772.26224,Low,501.65,Cloudy,2,5.76,intercity,Intercity highway data — travel times 79-810 min,0,1,0,Moderate
Lagos,Kano,989.64216,Medium,653.26,Rainy,2,4.79,intercity,Intercity highway data — travel times 79-810 min,1,3,1,Moderate
Port Harcourt,Jos,749.66504,Medium,624.64,Foggy,0,3.21,intercity,Intercity highway data — travel times 79-810 min,1,2,1,Poor
Jos,Benin City,694.31996,Medium,555.87,Cloudy,2,8.48,intercity,Intercity highway data — travel times 79-810 min,1,1,1,Good
Lagos,Enugu,558.6844,Low,404.41,Clear,1,3.93,intercity,Intercity highway data — travel times 79-810 min,0,0,0,Poor
Benin City,Port Harcourt,285.48322,Medium,274.55,Cloudy,0,8.87,intercity,Intercity highway data — travel times 79-810 min,1,1,1,Good
Port Harcourt,Kano,1035.64389,Medium,808.93,Cloudy,3,8.2,intercity,Intercity highway data — travel times 79-810 min,1,1,1,Good
Jos,Abuja,232.62361,High,217.8,Rainy,1,8.5,intercity,Intercity highway data — travel times 79-810 min,2,3,1,Good
Benin City,Jos,694.72263,High,551.95,Foggy,0,4.64,intercity,Intercity highway data — travel times 79-810 min,2,2,1,Moderate
Jos,Ibadan,831.54397,High,603.83,Foggy,2,3.82,intercity,Intercity highway data — travel times 79-810 min,2,2,1,Poor
Abuja,Ibadan,621.45345,High,416.3,Foggy,2,5.51,intercity,Intercity highway data — travel times 79-810 min,2,2,1,Moderate
Ibadan,Kano,863.35031,Medium,581.74,Clear,1,9.27,intercity,Intercity highway data — travel times 79-810 min,1,0,0,Good
Abuja,Kano,422.73338,Medium,322.4,Foggy,1,5.8,intercity,Intercity highway data — travel times 79-810 min,1,2,1,Moderate
Kano,Kaduna,236.46671,Medium,181.36,Cloudy,0,3.48,intercity,Intercity highway data — travel times 79-810 min,1,1,1,Poor
Jos,Benin City,694.31996,Low,555.87,Foggy,2,8.72,intercity,Intercity highway data — travel times 79-810 min,0,2,0,Good
Jos,Port Harcourt,756.55034,High,624.63,Rainy,1,4.3,intercity,Intercity highway data — travel times 79-810 min,2,3,1,Moderate
Ibadan,Kano,863.35031,High,581.74,Foggy,2,9.05,intercity,Intercity highway data — travel times 79-810 min,2,2,1,Good
Abuja,Enugu,365.9507,Low,342.42,Foggy,1,4.1,intercity,Intercity highway data — travel times 79-810 min,0,2,0,Moderate
Benin City,Ibadan,288.22386,Low,223.98,Foggy,1,4.75,intercity,Intercity highway data — travel times 79-810 min,0,2,0,Moderate
Benin City,Ibadan,288.22386,High,223.98,Cloudy,2,5.51,intercity,Intercity highway data — travel times 79-810 min,2,1,1,Moderate
Kano,Kaduna,236.46671,Low,181.36,Rainy,1,1.01,intercity,Intercity highway data — travel times 79-810 min,0,3,0,Poor
Port Harcourt,Enugu,234.03966,Low,186.79,Cloudy,3,8.06,intercity,Intercity highway data — travel times 79-810 min,0,1,0,Good
Enugu,Ibadan,531.74483,Low,406.38,Cloudy,3,1.22,intercity,Intercity highway data — travel times 79-810 min,0,1,0,Poor
Kaduna,Ibadan,649.79189,Low,431.24,Foggy,1,5.04,intercity,Intercity highway data — travel times 79-810 min,0,2,0,Moderate
Kano,Kaduna,236.46671,Low,181.36,Cloudy,1,6.48,intercity,Intercity highway data — travel times 79-810 min,0,1,0,Moderate
Kano,Benin City,837.51247,High,621.12,Rainy,3,7.0,intercity,Intercity highway data — travel times 79-810 min,2,3,1,Good
Port Harcourt,Lagos,602.37575,Low,496.52,Clear,0,2.61,intercity,Intercity highway data — travel times 79-810 min,0,0,0,Poor
Enugu,Kano,800.29869,Medium,629.07,Cloudy,2,5.83,intercity,Intercity highway data — travel times 79-810 min,1,1,1,Moderate
Benin City,Abuja,460.43211,High,346.47,Foggy,3,4.08,intercity,Intercity highway data — travel times 79-810 min,2,2,1,Moderate
Port Harcourt,Enugu,234.03966,High,186.79,Cloudy,2,8.84,intercity,Intercity highway data — travel times 79-810 min,2,1,1,Good
Port Harcourt,Kano,1035.64389,Low,808.93,Rainy,1,7.85,intercity,Intercity highway data — travel times 79-810 min,0,3,0,Good
Benin City,Jos,694.72263,Medium,551.95,Clear,3,7.4,intercity,Intercity highway data — travel times 79-810 min,1,0,0,Good
Jos,Port Harcourt,756.55034,Medium,624.63,Clear,3,6.46,intercity,Intercity highway data — travel times 79-810 min,1,0,0,Moderate
Jos,Benin City,694.31996,Low,555.87,Cloudy,3,3.71,intercity,Intercity highway data — travel times 79-810 min,0,1,0,Poor
Ibadan,Port Harcourt,573.25476,High,497.31,Rainy,1,3.2,intercity,Intercity highway data — travel times 79-810 min,2,3,1,Poor
Lagos,Jos,957.1304,Medium,676.55,Clear,1,6.1,intercity,Intercity highway data — travel times 79-810 min,1,0,0,Moderate
Benin City,Ibadan,288.22386,High,223.98,Cloudy,1,7.39,intercity,Intercity highway data — travel times 79-810 min,2,1,1,Good
Ibadan,Kano,863.35031,Medium,581.74,Foggy,0,1.35,intercity,Intercity highway data — travel times 79-810 min,1,2,1,Poor
Lagos,Abuja,743.50499,Low,490.07,Rainy,3,4.57,intercity,Intercity highway data — travel times 79-810 min,0,3,0,Moderate
Port Harcourt,Lagos,602.37575,Low,496.52,Foggy,3,4.09,intercity,Intercity highway data — travel times 79-810 min,0,2,0,Moderate
Benin City,Port Harcourt,285.48322,High,274.55,Clear,2,4.38,intercity,Intercity highway data — travel times 79-810 min,2,0,0,Moderate
Abuja,Benin City,466.00838,High,349.05,Rainy,2,5.69,intercity,Intercity highway data — travel times 79-810 min,2,3,1,Moderate
Kaduna,Jos,279.96749,Low,205.82,Clear,2,8.44,intercity,Intercity highway data — travel times 79-810 min,0,0,0,Good
Port Harcourt,Benin City,286.64756,Medium,277.63,Foggy,0,2.46,intercity,Intercity highway data — travel times 79-810 min,1,2,1,Poor
Abuja,Jos,233.94325,High,216.89,Cloudy,1,7.64,intercity,Intercity highway data — travel times 79-810 min,2,1,1,Good
Kano,Enugu,801.37292,Low,629.28,Clear,3,1.79,intercity,Intercity highway data — travel times 79-810 min,0,0,0,Poor
Kaduna,Abuja,195.51477,Medium,158.76,Rainy,1,8.47,intercity,Intercity highway data — travel times 79-810 min,1,3,1,Good
Enugu,Kano,800.29869,Low,629.07,Foggy,2,2.52,intercity,Intercity highway data — travel times 79-810 min,0,2,0,Poor
Abuja,Kano,422.73338,High,322.4,Cloudy,2,9.1,intercity,Intercity highway data — travel times 79-810 min,2,1,1,Good
Kaduna,Kano,235.72768,Medium,178.76,Rainy,1,7.96,intercity,Intercity highway data — travel times 79-810 min,1,3,1,Good
Ibadan,Port Harcourt,573.25476,Medium,497.31,Cloudy,2,3.46,intercity,Intercity highway data — travel times 79-810 min,1,1,1,Poor
Abuja,Enugu,365.9507,Low,342.42,Rainy,3,5.91,intercity,Intercity highway data — travel times 79-810 min,0,3,0,Moderate
Enugu,Port Harcourt,236.16038,Low,190.99,Rainy,0,6.44,intercity,Intercity highway data — travel times 79-810 min,0,3,0,Moderate
Port Harcourt,Lagos,602.37575,Low,496.52,Rainy,0,8.4,intercity,Intercity highway data — travel times 79-810 min,0,3,0,Good
Kano,Ibadan,865.35273,Low,584.82,Rainy,2,8.17,intercity,Intercity highway data — travel times 79-810 min,0,3,0,Good
Kano,Lagos,992.07454,High,656.51,Cloudy,2,1.81,intercity,Intercity highway data — travel times 79-810 min,2,1,1,Poor
Enugu,Lagos,559.54563,Low,403.02,Rainy,2,1.79,intercity,Intercity highway data — travel times 79-810 min,0,3,0,Poor
Kaduna,Lagos,776.5137,High,502.93,Cloudy,2,2.21,intercity,Intercity highway data — travel times 79-810 min,2,1,1,Poor
Benin City,Abuja,460.43211,High,346.47,Foggy,3,5.28,intercity,Intercity highway data — travel times 79-810 min,2,2,1,Moderate
Kano,Enugu,801.37292,High,629.28,Clear,1,5.46,intercity,Intercity highway data — travel times 79-810 min,2,0,0,Moderate
Lagos,Abuja,743.50499,High,490.07,Foggy,0,2.99,intercity,Intercity highway data — travel times 79-810 min,2,2,1,Poor
Enugu,Lagos,559.54563,Low,403.02,Cloudy,2,1.46,intercity,Intercity highway data — travel times 79-810 min,0,1,0,Poor
Port Harcourt,Benin City,286.64756,High,277.63,Cloudy,2,9.82,intercity,Intercity highway data — travel times 79-810 min,2,1,1,Good
Abuja,Kano,422.73338,Medium,322.4,Rainy,3,2.12,intercity,Intercity highway data — travel times 79-810 min,1,3,1,Poor
Benin City,Ibadan,288.22386,Low,223.98,Clear,1,3.21,intercity,Intercity highway data — travel times 79-810 min,0,0,0,Poor
Ibadan,Benin City,288.97126,High,225.81,Rainy,3,5.32,intercity,Intercity highway data — travel times 79-810 min,2,3,1,Moderate
Jos,Benin City,694.31996,Low,555.87,Foggy,2,5.39,intercity,Intercity highway data — travel times 79-810 min,0,2,0,Moderate
Benin City,Port Harcourt,285.48322,High,274.55,Clear,2,2.24,intercity,Intercity highway data — travel times 79-810 min,2,0,0,Poor
Enugu,Kaduna,567.67905,Low,459.74,Rainy,3,4.48,intercity,Intercity highway data — travel times 79-810 min,0,3,0,Moderate
Lagos,Jos,957.1304,Medium,676.55,Clear,1,3.75,intercity,Intercity highway data — travel times 79-810 min,1,0,0,Poor
Benin City,Abuja,460.43211,High,346.47,Foggy,3,7.95,intercity,Intercity highway data — travel times 79-810 min,2,2,1,Good
Lagos,Ibadan,129.68181,Medium,78.82,Cloudy,1,7.21,intercity,Intercity highway data — travel times 79-810 min,1,1,1,Good
Abuja,Enugu,365.9507,Low,342.42,Clear,1,2.27,intercity,Intercity highway data — travel times 79-810 min,0,0,0,Poor
Enugu,Ibadan,531.74483,Low,406.38,Foggy,3,9.04,intercity,Intercity highway data — travel times 79-810 min,0,2,0,Good
Jos,Lagos,958.26578,High,675.52,Foggy,1,1.13,intercity,Intercity highway data — travel times 79-810 min,2,2,1,Poor
Ibadan,Enugu,533.28268,Low,409.57,Clear,0,2.85,intercity,Intercity highway data — travel times 79-810 min,0,0,0,Poor
Kano,Port Harcourt,1040.28448,Low,810.08,Clear,2,1.37,intercity,Intercity highway data — travel times 79-810 min,0,0,0,Poor
Abuja,Lagos,748.17526,Medium,487.99,Foggy,2,5.5,intercity,Intercity highway data — travel times 79-810 min,1,2,1,Moderate
Ibadan,Abuja,617.21315,Low,418.55,Clear,0,9.97,intercity,Intercity highway data — travel times 79-810 min,0,0,0,Good
Kaduna,Benin City,604.25809,Medium,449.32,Cloudy,0,3.03,intercity,Intercity highway data — travel times 79-810 min,1,1,1,Poor
Kaduna,Jos,279.96749,High,205.82,Rainy,3,1.69,intercity,Intercity highway data — travel times 79-810 min,2,3,1,Poor
Abuja,Kano,422.73338,Medium,322.4,Cloudy,3,5.51,intercity,Intercity highway data — travel times 79-810 min,1,1,1,Moderate
Enugu,Benin City,248.85382,High,200.88,Cloudy,3,3.67,intercity,Intercity highway data — travel times 79-810 min,2,1,1,Poor
Abuja,Jos,233.94325,Medium,216.89,Cloudy,3,3.46,intercity,Intercity highway data — travel times 79-810 min,1,1,1,Poor
Ibadan,Benin City,288.97126,High,225.81,Foggy,0,5.15,intercity,Intercity highway data — travel times 79-810 min,2,2,1,Moderate
Enugu,Abuja,368.41768,Low,345.87,Clear,0,4.11,intercity,Intercity highway data — travel times 79-810 min,0,0,0,Moderate
Ibadan,Lagos,130.8188,Low,80.27,Cloudy,0,3.56,intercity,Intercity highway data — travel times 79-810 min,0,1,0,Poor
