location,safety_score
bayelsa,100.0
akwa ibom,98.1
rivers,95.3
ekiti,94.5
imo,92.9
cross river,92.8
abia,92.3
borno,91.3
ebonyi,91.0
anambra,88.2
sokoto,88.1
zamfara,88.1
taraba,85.7
mombasa,84.9
katsina,83.6
delta,83.2
benue,82.7
enugu,82.3
kebbi,82.0
edo,81.7
adamawa,80.6
plateau,78.1
yobe,77.5
gombe,75.7
lagos,70.8
ondo,66.5
osun,66.5
kwara,63.7
jigawa,61.6
default,60.0
kano,59.3
kogi,57.4
nakuru,53.5
ibadan,50.3
oyo,50.3
bauchi,41.5
nasarawa,41.3
niger,37.3
kaduna,30.0
fct,30.0
ogun,30.0
abuja,30.0
nairobi,30.0
